initial_description,final_description,classification,unit_total,company_tid,establishment_id,cleaned_initial_description
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.51,14,4,conector recto metal plg tubo emt
000000000001090740|CONECTOR RECTO METAL 1/2 plg TUBO EMT                                                                                                                                                                          ,,7765,1.52,14,4,conector recto metal plg tubo emt
SUPER A-S,Combustible,7763,32.490001202130045,1,32,super a s
TECDIESEL,,7763,29.970000059939935,31,2,tecdiesel
SERVICIO DE TRANSPORTE DE EQUIPO,,7767,8000,15,2,servicio de transporte de equipo
"[SA05959] VALVULA SACAMUESTRAS NPT 1/2"" SS304L JUNTA BUNA 6 BAR (-30?C-100?C)",Materiales,7800,247,10,1,sa valvula sacamuestras npt ssl junta buna bar c c
"[ME02115] MANOMETRO 0-100 PSI/KPA CARATULA 21/2"" SS304 CONEXION POSTERIOR NPT 1/4"" BRONCE PFQ ZR",Materiales,7800,150,10,1,me manometro psi kpa caratula ss conexion posterior npt bronce pfq zr
"[IN06567] REDUCIDOR BUSHING NPT SS316 1/2""X1/4"" MACHO/HEMBRA",Materiales,7800,20,10,1,in reducidor bushing npt ss x macho hembra
Gorros,Atención empleados,7765,9,24,18,gorros
Gorros,Atención empleados,7765,6.3,24,18,gorros
Gorros,Atención empleados,7765,6.3,24,18,gorros
Gorros,Atención empleados,7765,9,24,18,gorros
Abrigo,Atención empleados,7765,53,24,18,abrigo
Chumpa,Atención empleados,7765,31.5,24,18,chumpa
Guantes,Atención empleados,7765,17,24,18,guantes
Modificaci?n de tolva para maquina de hielo,HONORARIOS,57671,6600,17,2,modificacin de tolva para maquina de hielo
Mediana Clasica De Luxe,CONSUMO DE ALIMENTOS,7762,55.29,4,86,mediana clasica de luxe
Grande Pan Pizza Alfredo Tocino,CONSUMO DE ALIMENTOS,7762,73.71,4,86,grande pan pizza alfredo tocino
RELE  8 PINES 120VAC,,7765,50,16,6,rele pines vac
Servicios T?cnicos,,57671,480,28,1,servicios tcnicos
DIESEL,,7801,30.689997731609356,32,1,diesel
USO DE PARQUEO,"USO DE PARQUEO	",7766,10,25,2,uso de parqueo
COMBO 5,,7762,42,5,52,combo
SMOOTHIE 16OZ                                                                 ,ALIMENTOS,7804,18.95,29,3,smoothie oz
DONA ANILLO                                                                   ,ALIMENTOS,7804,9.95,29,3,dona anillo
SUPER VP  A-S,combustible,7825,30.989999913397746,1,62,super vp a s
TipicoC/Panqueq ,,7804,44,3,67,tipicoc panqueq
Jugo Des Gd ,,7804,1,3,67,jugo des gd
Flan ,,7804,12,3,67,flan
BEBIDAS,Consumo de alimentos,7762,12.685,22,32,bebidas
FRITOS,Consumo de alimentos,7762,11.9675,22,32,fritos
SANDWICH,Consumo de alimentos,7762,34.0475,22,32,sandwich
"Estancia de compresores en nuestras instalaciones,15 de septiembre 2023 al 14 de octubre 2023.",Arrendamiento,7809,1400,7,1,estancia de compresores en nuestras instalaciones de septiembre al de octubre
PAN CARNE PRENSADA,,7804,23,21,6,pan carne prensada
CANADA DRY GINGER ALE LATA,,7804,5,21,6,canada dry ginger ale lata
CORTES DE TUBERIA DE ACERO S/M,Materiales,7765,150,11,2,cortes de tuberia de acero s m
SUPER SC,Combustible,7763,38.28999926483201,23,2,super sc
CARNE ASADA,Consumo de alimentos,7762,25,30,3,carne asada
POLLO EN ESTOFADO,Consumo de alimentos,7762,25,30,3,pollo en estofado
TORTILLA,Consumo de alimentos,7762,1,30,3,tortilla
Servicios T?cnicos ,,57671,700,28,1,servicios tcnicos
ALQUILER DE MONTACARGAS DE 3 TONELADAS,Arrendamiento,7768,2800,13,1,alquiler de montacargas de toneladas
PECHUGAS,Consumo de alimentos,7804,11,20,17,pechugas
POLLO SURTIDO,Consumo de alimentos,7804,9,20,17,pollo surtido
PORCION PAPA,"Consumo de alimentos
",7804,6,20,17,porcion papa
LITRO 15W40 HD TOP1,,7831,72.25,27,3,litro w hd top
GARRAFA SAE 15W40 HD 4/5L TOP1,,7831,260.1,27,3,garrafa sae w hd l top
TORNILLO PARA ACEITERA,,7831,106.25,27,3,tornillo para aceitera
BRAKE & PART CLEEANER 600ML 12/1 STI,,7831,38.25,27,3,brake part cleeaner ml sti
TEFLON DE 1/2,,7831,5.95,27,3,teflon de
BOLA DE WIPE COLOR,,7831,9.35,27,3,bola de wipe color
"FILTRO DE ACEITE WIX -51348, TL10241-",,7831,26.35,27,3,filtro de aceite wix tl
FILTRO DE AIRE KLINFIL -WA9530-,,7831,110.5,27,3,filtro de aire klinfil wa
"SERVICIO MENOR, AUTOMOVIL",,7831,127.5,27,3,servicio menor automovil
LIMPIEZA Y AJUSTE DE FRENOS  TRASEROS,,7831,127.5,27,3,limpieza y ajuste de frenos traseros
000000000000102234|PVC CODO 90 2 LISO SCH40 DURMAN                                                                                                                                                                                ,Materiales,7765,7.59,14,16,pvc codo liso sch durman
000000000000102277|PVC COPLE 2 LISO SCH40 DURMAN                                                                                                                                                                                  ,Materiales,7765,5.98,14,16,pvc cople liso sch durman
000000000000645856|SELLADOR F101 100% SILICON BLANCO SISTA                                                                                                                                                                        ,Materiales,7765,42.49,14,16,sellador f silicon blanco sista
000000000000645856|SELLADOR F101 100% SILICON BLANCO SISTA                                                                                                                                                                        ,Materiales,7765,42.5,14,16,sellador f silicon blanco sista
Claro Club CMB,,7804,35,5,73,claro club cmb
Claro Club CMB,,7804,35,5,73,claro club cmb
EMPANADA,,7804,12,5,73,empanada
EMPANADA.,,7804,8,5,73,empanada
Spr Comb Md OF ,Consumo de alimentos,7762,52,3,114,spr comb md of
Alimentaci?n ,Alimentos,7804,176,8,2,alimentacin
Por Consumo De Alimentos,"Por Consumo De Alimentos	",7762,100,26,2,por consumo de alimentos
DESAYUNO ESPECIAL SAN CARLOS,,7804,35,21,6,desayuno especial san carlos
DESAYUNO SAN CARLOS,,7804,30,21,6,desayuno san carlos
Por flete terrestre de m?quina de hielo de Almacenadora Coalsa a KM121 Teculutan,Parqueo,7807,5000,18,3,por flete terrestre de mquina de hielo de almacenadora coalsa a km teculutan
Servicio de custodio,Parqueo,7807,600,18,3,servicio de custodio
CUAD 100H PREMIER C/LINEAS Y C/C 8MM,,7821,31.25,6,4,cuad h premier c lineas y c c mm
ARCHIVADOR AMPO T/CTA 830 C/INDICE,,7821,22.5,6,4,archivador ampo t cta c indice
RXGT|Seguridad,Gastos sobre compras,7758,10.21,19,1,rxgt seguridad
CAALM|Almacenaje,Gastos sobre compras,7758,140.72,19,1,caalm almacenaje
CAMAN|Manejo,Gastos sobre compras,7758,19.28,19,1,caman manejo
DAGE|Pago de Servicio Aduanero,Gastos sobre compras,7758,109,19,1,dage pago de servicio aduanero
PREMIUM,Combustible,7763,34.46999960933999,31,69,premium
Des.Tecpan Estr,CONSUMO DE ALIMENTOS,7804,66,12,25,des tecpan estr
